model,accuracy,precision_churn_yes,recall_churn_yes,f1_churn_yes,roc_auc,flagged_customers
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.841501976284585,581
Random Forest,0.7856635911994322,0.6285714285714286,0.47058823529411764,0.5382262996941896,0.8218360071301248,280
